Frame Attached,Frame Detached,Average Eccentricity,Average Size,Average Horizontal Location,Average Vertical Location,rolling?,Starting Vertical Position,Starting Horizontal Position,Final Vertical Position,Final Horizontal Position
161,194,0.870962469,286.1212121,544.4592762,1336.403662,yes,538.8074074,1337.874074,546.5356201,1325.023747
164,174,0.844662283,164.3333333,426.8799443,1306.40041,yes,427.1515152,1310.585859,426.3678756,1300.772021
169,171,0.832611833,73.5,517.2917021,152.5095745,no,515.86,152.7,518.7234043,152.3191489
170,173,0.64441605,101.5,844.9309074,823.5688762,yes,845.553719,832.9917355,847.6203704,818.7407407
172,214,0.541760845,163.4615385,252.1296819,1124.226011,yes,252.497076,1129.619883,252.4285714,1120.663265
172,303,0.592799963,149.0152672,462.9502732,957.2464582,no,462.8235294,957.5490196,462.8958333,957.1597222
173,186,0.583720861,192.4285714,876.3566491,710.6576887,yes,876.5928144,718.1796407,876.0046512,705.2325581
176,300,0.766887915,148.28125,425.9236832,1276.437577,yes,431.5968379,1301.379447,431.3214286,1248.547619
178,756,0.400321814,205.6697761,21.07793249,1212.258443,no,22.08108108,1214.821622,18.421875,1213.223958
180,302,0.714476722,183.8760331,429.8391905,1087.933183,yes,431.3985507,1171.826087,437.195122,1003.252033
181,181,0.760819099,196,928.1377551,909.0918367,no,928.1377551,909.0918367,928.1377551,909.0918367
186,209,0.412609564,151.8333333,806.6816973,774.6922545,no,807.8280255,778.0828025,806.3935484,772.8258065
191,193,0.653849336,102.3333333,885.9902791,291.0831782,yes,885.2020202,292.6262626,885.3333333,290.6071429
195,253,0.78322962,168.0677966,428.7231446,1204.930689,yes,426.8895349,1234.872093,428.1041667,1185.875
197,488,0.695431827,153.7665505,904.9484093,1263.414298,no,903.7759563,1265.754098,904.958042,1261.237762
198,570,0.601049737,150.3494624,334.2842129,594.5534031,yes,335,716.5364238,324.7612903,476.8322581
198,696,0.584631555,129.4503043,372.1781399,715.9819203,yes,373.5481481,748.9111111,373.6299213,681.6692913
198,198,0.848866392,93,933.2903226,1188.935484,no,933.2903226,1188.935484,933.2903226,1188.935484
204,204,0.752698903,148,934.9797297,1184.141892,no,934.9797297,1184.141892,934.9797297,1184.141892
206,214,0.381983711,139.8,213.9741803,1154.328804,yes,214.0220588,1156.544118,213.4836601,1152.366013
206,211,0.489510238,101.8333333,252.0132937,1201.552886,yes,251.2747253,1203.593407,252.3404255,1201.191489
206,299,0.492324009,115.7717391,894.3496426,18.19252494,yes,893.4152542,46.09322034,892.9107143,1.910714286
209,209,0.669713351,125,552.68,1324.416,no,552.68,1324.416,552.68,1324.416
212,216,0.609813199,161.4,258.1737591,725.6683162,no,258.5120482,726.9518072,257.6484848,724.5818182
216,216,0.875333656,90,609.0333333,9.188888889,no,609.0333333,9.188888889,609.0333333,9.188888889
217,217,0.580072831,93,245.9462366,4.279569892,no,245.9462366,4.279569892,245.9462366,4.279569892
217,248,0.522075296,140.8125,249.437608,103.6285958,no,248.7956204,104.5766423,249.4899329,103.1610738
218,230,0.607857336,216.7692308,390.3646652,411.308384,yes,385.6320346,466.4155844,390.7366255,386.4238683
220,220,0.827867422,160,490.425,174.29375,no,490.425,174.29375,490.425,174.29375
222,225,0.56291378,106,798.7474719,449.3557071,no,798.490566,449.6415094,798.33,449.19
223,223,0.920778005,259,604.3243243,602.5637066,no,604.3243243,602.5637066,604.3243243,602.5637066
224,519,0.581598562,155.6283784,251.8116982,1095.560834,yes,251.3407407,1118.207407,252.5502646,1072.412698
224,417,0.344727393,174.2,758.7022077,367.7410708,yes,758.8282828,370.6464646,759.6777778,369.2388889
