Cell Number,Frame,Vertical Position,Horizontal Position
49,2,927.3846154,236.6923077
50,2,929.1,1237.8
34,2,937.6923077,499.0769231
35,2,947.6428571,763.1428571
36,2,964.25,921.75
37,2,1005.4,953.4666667
38,2,1016.384615,198.6923077
51,2,1016.777778,374.5555556
40,2,1034.416667,1262.916667
41,2,1037.615385,813
17,2,587.1538462,845.3076923
52,3,51.6,1285.5
1,3,188.4285714,115.7857143
6,3,295.1666667,466
7,3,342.5,65.16666667
8,3,353.8,213.6
9,3,422.1111111,776.1111111
10,3,472.1666667,83.75
11,3,480.7272727,296.3636364
12,3,491.25,1223.333333
13,3,530.7142857,376.7857143
14,3,545.7,963.9
53,3,549.3636364,267.8181818
15,3,556.1666667,1056.75
16,3,562.5,689
46,3,583,341.5
17,3,588.8888889,843.7777778
18,3,608,544.2222222
19,3,680,422.3333333
20,3,686.9285714,1263.071429
21,3,705.6666667,1093.866667
23,3,744,206.5
24,3,764.2222222,604.7777778
25,3,784.2142857,518.2142857
26,3,808.25,970.125
27,3,807,1160.357143
28,3,817.5454545,16.81818182
29,3,830.2222222,429.5555556
30,3,837.1818182,682.8181818
31,3,844.3076923,1262.769231
32,3,888.2222222,1087.111111
33,3,910.4,1017.4
34,3,937.6363636,499
35,3,946.9230769,762.3076923
36,3,964.3333333,920
37,3,1004.769231,953.9230769
54,3,1008.333333,747
38,3,1018,198.9285714
39,3,1020.8,476.9
40,3,1034.538462,1262
41,3,1036.333333,810.4444444
52,4,51.4,1289.1
0,4,102.375,1307.875
1,4,189.4545455,115.1818182
4,4,257.8333333,553.5833333
7,4,341.8,63.9
8,4,353.8571429,212.6428571
9,4,423.25,775.25
10,4,473,83.45454545
11,4,481.8333333,298.9166667
55,4,537.4444444,245.5555556
53,4,547.0909091,263.5454545
14,4,547.0909091,963.2727273
56,4,555.6363636,603.8181818
16,4,564,688.7272727
17,4,588.4,844.1
57,4,590.1666667,626.8333333
58,4,658.0909091,1303.363636
19,4,681,417.9090909
20,4,687.4285714,1262.214286
22,4,728.7272727,1016.454545
59,4,732.7692308,1035.076923
25,4,784.3,518.8
60,4,786.0833333,861.8333333
61,4,804.6363636,829.8181818
27,4,807.4166667,1161.25
28,4,815.8571429,20.85714286
28,4,819.125,6
29,4,834,432.8571429
31,4,842.6,1262.5
49,4,926.2,236.7
34,4,939.7272727,498.9090909
36,4,963.1666667,920.1666667
62,4,1000.666667,339.0833333
54,4,1008.222222,741
38,4,1018.416667,198.9166667
51,4,1019.75,371.1666667
40,4,1034.357143,1262.428571
41,4,1036.727273,809.0909091
0,4,101.7142857,1307.428571
52,5,52.66666667,1287.555556
0,5,97.875,1311.5
42,5,97.75,171.3333333
1,5,188.75,117
63,5,265.5,547
7,5,341.4615385,65.23076923
8,5,353.6875,214.1875
9,5,422.8181818,773.9090909
10,5,471.4166667,82.66666667
11,5,481.75,299.75
12,5,488,1211.833333
13,5,532.3,376.4
55,5,538.6666667,238.4444444
14,5,547.3,963.8
16,5,561.7777778,687
17,5,585.7,842.7
18,5,610.9,543.5
58,5,655.6,1302.9
19,5,681.2666667,418.2666667
20,5,684.6666667,1260.25
21,5,705.7142857,1094.142857
23,5,745.3571429,206
25,5,783.8461538,519.5384615
26,5,806.9285714,970.6428571
27,5,807.6428571,1159.857143
29,5,832.2307692,430.3846154
30,5,835.8,682.6666667
31,5,842.6153846,1257.076923
32,5,884.3636364,1083.454545
33,5,911.3571429,1014.928571
34,5,944,492.0909091
35,5,949.9,759.5
36,5,964.0769231,918.2307692
64,5,984,285.375
37,5,1005.071429,953.3571429
54,5,1007.2,731.2666667
38,5,1018.5,199.6666667
39,5,1021.909091,464.6363636
40,5,1033.857143,1263.642857
41,5,1038.888889,804.1111111
0,6,100,1311.111111
1,6,190.5555556,117.6666667
7,6,343,67.42857143
8,6,353.4615385,213.6153846
9,6,421.8,775.7
10,6,472.5454545,79.72727273
11,6,482.8461538,298.5384615
12,6,488.0909091,1208.272727
13,6,530.6153846,376.0769231
45,6,534.25,838
55,6,538.1111111,241.3333333
